timestamp,location_id,visitor_count,resource_usage_rate,temperature,air_quality_index,noise_level,season,peak_hour_flag,visitor_satisfaction,sensor_noise_flag,resource_prediction,resource_allocation,t_sne_dim1,t_sne_dim2
2024-12-01 00:00:00,LOC_003,808,0.9076380257726049,19.368863657666143,127,51.506727329340436,summer,0,5.502614668103616,1,0.8578190128863025,high,-4.576337,0.5827359
2024-12-01 01:00:00,LOC_001,948,0.9742656574080923,17.404944530233514,37,55.901716689997116,autumn,0,4.736401084515794,0,0.9611328287040461,high,-28.314085,20.02282
2024-12-01 02:00:00,LOC_003,292,0.32191161962326137,16.36681871064521,113,68.53302439720584,winter,1,2.5228274650952662,0,0.3069558098116307,low,1.3299476,5.8811026
2024-12-01 03:00:00,LOC_003,592,0.8118890468815798,20.266315675064,52,85.30103890919173,autumn,1,2.6877450062094996,1,0.70194452344079,medium,-11.921675,20.376535
2024-12-01 04:00:00,LOC_001,89,0.9366671576634729,15.922471286714677,145,52.25877859382344,summer,1,1.0949647313431048,1,0.5128335788317364,medium,-6.068825,-4.793058
2024-12-01 05:00:00,LOC_001,278,0.9001520644647489,26.34341559838771,141,70.58118162939344,spring,1,1.822836419755383,0,0.5890760322323745,medium,-30.603321,2.003588
2024-12-01 06:00:00,LOC_003,597,0.975164330589146,20.676568940470403,134,54.19374955034811,summer,1,6.01154825221217,0,0.786082165294573,medium,-1.9281883,-13.306153
2024-12-01 07:00:00,LOC_002,969,0.832065854906668,31.490696161740644,47,87.1038583244575,spring,0,9.02685817007569,0,0.900532927453334,high,-22.911472,6.4163246
2024-12-01 08:00:00,LOC_003,272,0.6096091336666372,16.48481745976773,30,62.67096656375653,spring,0,3.584482886175017,0,0.4408045668333186,low,15.556006,3.5165012
2024-12-01 09:00:00,LOC_003,55,0.5183663933465913,19.52702988682972,66,35.37059787970197,autumn,0,3.949725033065153,1,0.28668319667329567,low,-4.0179567,-26.208872
2024-12-01 10:00:00,LOC_003,371,0.5245199183066892,29.60492294180292,146,41.62367650370754,autumn,1,2.0404504955036096,0,0.4477599591533446,low,12.416196,23.404835
2024-12-01 11:00:00,LOC_003,517,0.8070958708298819,26.97616592766983,137,34.27732673337426,autumn,0,4.497678510463925,1,0.6620479354149409,medium,-12.318193,6.6209054
2024-12-01 12:00:00,LOC_001,781,0.822085908421675,16.289825424983352,145,64.95120622100276,winter,1,1.3349953411239626,1,0.8015429542108374,high,-22.944618,-4.731617
2024-12-01 13:00:00,LOC_003,124,0.44025140048409883,32.54478914324401,91,37.4436108143759,autumn,0,9.258406266357103,0,0.2821257002420494,low,25.72337,6.4516788
2024-12-01 14:00:00,LOC_002,53,0.9076859694433717,32.54523525652359,126,37.98979785167425,winter,0,7.058002133120758,0,0.48034298472168585,low,-17.651205,14.436826
2024-12-01 15:00:00,LOC_001,896,0.8004468281415733,21.60816007751548,52,95.8733782026864,autumn,1,9.91673928453897,0,0.8482234140707867,high,-26.809235,18.50539
2024-12-01 16:00:00,LOC_002,695,0.6939252004403678,21.808116866991295,38,91.08585505232388,spring,1,8.945408464106443,0,0.6944626002201839,medium,-22.733675,-3.402181
2024-12-01 17:00:00,LOC_002,167,0.6300727220717588,34.78056716700348,93,61.64606177679562,winter,0,5.256915343283374,1,0.3985363610358794,low,0.21240138,-9.865062
2024-12-01 18:00:00,LOC_002,930,0.6802629640529707,27.523523431862763,117,99.00637245951441,summer,0,5.6771652803533925,1,0.8051314820264854,high,-24.683983,-11.094842
2024-12-01 19:00:00,LOC_002,655,0.4114720167954851,25.62633041136118,148,30.01305697194642,winter,0,2.7151844186547445,1,0.5332360083977425,medium,0.6234538,-20.628077
2024-12-01 20:00:00,LOC_001,553,0.4425908744933919,31.76304367103849,112,72.97856193913756,winter,0,5.158354085556001,0,0.49779543724669595,low,1.8731642,22.724504
2024-12-01 21:00:00,LOC_001,996,0.3638151432843342,20.705806767146328,67,73.1499724160309,summer,0,9.127250861435305,1,0.6799075716421671,medium,-24.109163,17.384867
2024-12-01 22:00:00,LOC_002,623,0.4075606267127789,23.583651867927138,83,62.02101391089217,winter,1,1.4576808127223901,0,0.5152803133563895,medium,-2.4536629,-18.516933
2024-12-01 23:00:00,LOC_002,490,0.6175855442236978,20.355533509766683,80,57.786358105400495,spring,1,8.772011226984787,1,0.553792772111849,medium,27.258217,-5.602123
2024-12-02 00:00:00,LOC_001,243,0.6712480756097792,30.78321693177463,58,61.876819483642535,autumn,1,4.068530214783488,0,0.4571240378048896,low,-5.531875,-5.9393826
2024-12-02 01:00:00,LOC_001,896,0.31250332473482356,26.46698691270436,147,59.04723052557763,summer,1,9.09561488586679,1,0.6042516623674118,medium,14.42328,19.928778
2024-12-02 02:00:00,LOC_001,764,0.8577584795048192,28.17650140280141,107,81.13447342376097,autumn,0,9.467919157073363,1,0.8108792397524096,high,14.559299,-29.38728
2024-12-02 03:00:00,LOC_003,441,0.5059175813404345,20.04614499678813,45,39.47488044812988,spring,0,7.037783983017153,0,0.47345879067021723,low,9.543552,9.650014
2024-12-02 04:00:00,LOC_003,75,0.9382852244719377,19.404506027546304,36,43.83474544137911,summer,1,6.979814079334101,1,0.5066426122359688,medium,-27.45191,-18.397705
